Departamento,Dg12,Dg15,Dg25,Dg26,Dg27,Dg29,Dg31,Dg32,Dg33,Dg34,Dg35,Dg36,Dg37,Dg38,Dg39,Dg40,Dg41,Dg42,Dg43,Dg44
Estelí,Hembra,Enana,Amarillo,Rojo,Rojo,Blanco,1.3,2.9,7.1,2.8,1.5,1,16,17,17,7,9,4.5,15,26
Estelí,Hembra,Pequeña,Amarillo,Rojo,Rojo,Otro,1.2,2.8,7.3,3.6,1.9,1.9,14,20,20,10,15,8,15,26
Estelí,Hembra,Pequeña,Amarillo,Rojo,Rojo,Amarillo,1.1,3,8,3.6,2,2,13,21,21,10,15,9,15,26
Madriz,Hembra,Pequeña,Amarillo,Rojo,Rojo,Otro,1.53,3.4,8,3.3,2,2,12,21,21,8,13,7.5,16,26
Madriz,Macho,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.53,3,8.2,3.1,3,2,13,24,19,10,11,4.5,17,26
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Blanco,1.31,2.6,6.9,3.1,2.2,1.1,15,19,19,9,10,5,12.5,27
Estelí,Hembra,Enana,Amarillo,Rojo,Rojo,Amarillo,1.31,2.8,7.1,2.6,3,1.5,14,17,17,8.5,10.5,5,13,27
Madriz,Hembra,Pequeña,Amarillo,Rojo,Rojo,Otro,.98,3,7,3,2,2,14,19,18,7.5,11,6,13,27
Madriz,Hembra,Pequeña,Amarillo,Rojo,Rojo,Amarillo,.92,2.9,6.3,2.8,2,1.5,11,15,15,8,9.5,5.5,14,27
Estelí,Macho,Grande,Amarillo,Rojo,Rojo,Amarillo,2.29,3,7.1,3.5,2.5,2,14.5,16.5,21,8.5,10.5,6,14,27
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.42,2.7,7.7,3.3,2,1,15,20,20,8,11,6,14,27
Estelí,Hembra,Pequeña,Amarillo,Rojo,Rojo,Amarillo,1.01,3,6,3.3,1.2,1.2,11,18,16,9,11,7,14,27
Estelí,Hembra,Pequeña,Amarillo,Rojo,Rojo,Otro,1.2,2.4,6.9,3.9,1.3,1.3,12,20,18,9,13,8,14,27
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Otro,1.27,2.8,7.6,2.9,2.5,1.5,15,20,21,8.5,10,6,15,27
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.54,2.7,7.2,3.1,2,1.5,14,17,17,9,10,6,15,27
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Otro,1.36,2.7,7.2,2.7,2,1,12,19,19,8,10.5,6,15,27
Estelí,Hembra,Pequeña,Amarillo,Rojo,Rojo,Amarillo,1.31,2.8,7.5,3.2,2,1.5,16,19,19,8,11,6,15,27
Estelí,Hembra,Mediana,Amarillo,Negro,Rojo,Amarillo,1.6,3,7.6,3.7,1.5,1.5,16,21,19.5,8,14,6,15,27
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.12,2.7,7.3,3.4,2,1.5,17,18,18,8.5,11,6.5,15,27
Estelí,Macho,Pequeña,Amarillo,Rojo,Rojo,Amarillo,1.5,2.8,7.7,3.5,2,2,13,22,22,10,14,8,15,27
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Otro,1.22,2.7,6.6,2.5,3,1,15,16,19,9.5,11,5.5,16,27
Estelí,Hembra,Mediana,Amarillo,Negro,Rojo,Amarillo,1.64,2.9,7.3,3.1,3,2,17,18,18,8,13,6,16,27
Madriz,Hembra,Pequeña,Amarillo,Rojo,Rojo,Amarillo,1.12,3,7,3,2,1,15,19,22,9,13,7,16,27
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Otro,1.6,3,7,3.4,2,2,14,20,20,9,15,7,16,27
Estelí,Hembra,Pequeña,Amarillo,Rojo,Rojo,Amarillo,.9,3.1,7,3,2,2,13,18,18,9,12,8,16,27
Madriz,Hembra,Pequeña,Amarillo,Rojo,Rojo,Otro,1,3,7.3,3.2,2,2,15,21,21,9,11,6,17,27
Nueva Segovia,Macho,Mediana,Amarillo,Rojo,Rojo,Otro,1.55,3.7,8,4.2,2.2,2.2,18,19,23,12,15,11,17,27
Nueva Segovia,Hembra,Mediana,Amarillo,Rojo,Rojo,Otro,1.37,3,7,3.2,2,1,12,20,22,12,14,9,18,27
Nueva Segovia,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.24,3,7.1,3.4,1.5,1.5,13,18,19,12,8,12,26,27
Madriz,Hembra,Pequeña,Amarillo,Rojo,Rojo,Otro,1.08,3.1,7.3,3.5,1.5,1.5,13,20,18,8,10.5,6.5,12,28
Estelí,Hembra,Pequeña,Amarillo,Rojo,Rojo,Otro,1,3,6.7,3,1.4,1.4,10,16,16,9,13,7,12,28
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.8,3,7.1,3.6,2,2,10,21,21,11,13,8,12,28
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.6,2.2,6.5,3.1,2,2,13,18,20,9,11,6,13,28
Madriz,Hembra,Pequeña,Amarillo,Rojo,Rojo,Amarillo,1.02,3.1,8.1,4,2.5,2,11,20,22,8,12,7,13,28
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.08,2.4,7.6,4,1.8,1.8,15,21,20,9,13,7,13,28
Madriz,Hembra,Pequeña,Amarillo,Negro,Rojo,Amarillo,.9,3,6,3,1,1,13,17,19,10,15,7,13,28
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.8,3,7,3,1.6,1.6,12,21,21,10,13,8,13,28
Nueva Segovia,Hembra,Mediana,Amarillo,Rojo,Rojo,Otro,1.47,3,8,3.6,1.2,1,14,18,19,11,13,8,13,28
Madriz,Hembra,Pequeña,Amarillo,Rojo,Rojo,Amarillo,1.24,2.9,7.1,3.1,2,1.5,15,18,16,8.5,11,5,14,28
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Otro,1.35,2.8,7.4,3.1,2.5,2,16.5,18,19,9.5,10.5,5.5,14,28
Estelí,Hembra,Pequeña,Amarillo,Rojo,Rojo,Otro,1.21,2.8,7.3,2.8,1.5,1,15,20,21,8.5,12.5,6.5,14,28
Estelí,Hembra,Pequeña,Amarillo,Rojo,Rojo,Amarillo,1.2,3,7,2.4,1.3,1.3,12,19,20,9,11,7,14,28
Madriz,Hembra,Mediana,Amarillo,Rojo,Rojo,Otro,1.33,3,8.3,3.5,2.1,1.3,14,24,18,8,12,7,14,28
Estelí,Hembra,Pequeña,Amarillo,Rojo,Rojo,Amarillo,1.3,3,7,3.5,1.7,1.7,15,19,20,9,13,7,14,28
Estelí,Hembra,Mediana,Amarillo,Negro,Rojo,Amarillo,1.7,3,7.8,4,2.1,2.1,12,19,20,11,14,7,14,28
Nueva Segovia,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.77,3.2,8.1,3.5,1.9,1.9,15,23,19,13,14,7,14,28
Nueva Segovia,Hembra,Pequeña,Amarillo,Rojo,Rojo,Amarillo,1.62,3.1,8.9,4,3,2,15,19,20,11,13,8,14,28
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.2,3,7.3,3.2,2.4,1.1,12,21,19,8,11,6,15,28
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Verde,1.2,2.7,7.2,3.3,2.5,2,15,19,19,8.5,11,6,15,28
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Otro,1.41,2.8,7.7,3.1,2,1.5,17,21,18,8.5,12,6,15,28
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Blanco,1.5,2.9,7,3,2,2,14,20,19,8,12,7,15,28
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.6,2.4,7.3,3.1,2,2,12,18,19,9,13,7,15,28
Madriz,Hembra,Pequeña,Amarillo,Rojo,Rojo,Otro,1.22,2.9,7,3.2,1.2,1.2,10,15,21,11,13,8,15,28
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.7,3,7.4,4,2,2,13,19,20,11,16,8,15,28
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.77,2.8,7.8,3.4,2,1.5,17,19,19,9,12,6.5,15.5,28
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Otro,1.39,2.8,7.8,2.6,2.3,1.8,16,21,20,9,12,6.5,15.5,28
Estelí,Macho,Mediana,Amarillo,Rojo,Rojo,Otro,1.21,2.8,7,3.1,2.5,2,15,20,19,9,12,7,15.5,28
Estelí,Hembra,Grande,Amarillo,Rojo,Rojo,Amarillo,1.8,2.9,7.9,3.1,2,1.5,16,23,23,9,12.5,6,16,28
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Otro,1.33,2.9,6.4,2.5,2.2,1.4,17,19,21,9.5,11,6.5,16,28
Estelí,Hembra,Pequeña,Amarillo,Rojo,Rojo,Amarillo,1.36,2.9,7.4,3.1,1.5,1,16,20,20,8,10.5,7,16,28
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.35,2.8,7.6,3.2,2,1.5,16,22,21,9,12,7,16,28
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.3,3,7,3.2,2,2,18,19,20,10,12,7,16,28
Nueva Segovia,Hembra,Mediana,Amarillo,Rojo,Rojo,Blanco,1.78,3.2,8,3.9,2,2.1,15,22,19,10,13,7,16,28
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.8,3,7.5,3.9,2,2,13,20,20,11,13,7,16,28
Nueva Segovia,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.21,3.1,7,3.3,2,1.1,13,21,20,11,13,7,16,28
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.9,3,8.3,4,2,2,12,22,21,10,15,7,16,28
Estelí,Hembra,Grande,Amarillo,Rojo,Rojo,Otro,2,2.9,8.6,3.3,2.2,1.6,16,22,22,10,15,7,16,28
Nueva Segovia,Hembra,Grande,Amarillo,Rojo,Rojo,Amarillo,1.72,3,8,3.4,2.5,2,12.9,23,20,11,14,9,16,28
