Departamento,Dg12,Dg15,Dg25,Dg26,Dg27,Dg29,Dg31,Dg32,Dg33,Dg34,Dg35,Dg36,Dg37,Dg38,Dg39,Dg40,Dg41,Dg42,Dg43,Dg44
Madriz,Macho,Grande,Amarillo,Rojo,Rojo,Amarillo,2.15,3.3,8.2,3.5,3,2,17,22,23,10,15,9,19,35
Estelí,Macho,Grande,Amarillo,Rojo,Rojo,Amarillo,2.34,3,8.4,3.3,2.9,2.9,18,24,24,13,18,10,19,35
Estelí,Macho,Grande,Amarillo,Rojo,Rojo,Otro,2.5,3.2,8,4,3.6,1.4,13,26,25,11,16,9,20,35
Nueva Segovia,Macho,Grande,Amarillo,Rojo,Rojo,Amarillo,2.29,3.2,8.2,3.8,3.9,2,17,23,27,13,16,10,24,35
Madriz,Macho,Grande,Amarillo,Rojo,Rojo,Verde,3.2,3.5,10,4,4.5,2.9,17,28,25,11,16,10,25,35
Madriz,Hembra,Grande,Amarillo,Rojo,Rojo,Amarillo,2.8,3.1,8.3,3.2,3,2.5,15.5,20.5,22.5,11,13,7,18,35.5
Estelí,Macho,Grande,Amarillo,Rojo,Rojo,Amarillo,3.07,3,7.1,4,3.1,2.2,18,25,26,13,18,11,15,36
Estelí,Hembra,Grande,Amarillo,Rojo,Rojo,Otro,3.25,3,8.3,3.2,2.5,2,18,23,22.5,11,13,7,17,36
Madriz,Macho,Grande,Amarillo,Rojo,Rojo,Otro,2.23,3.2,8.9,4,3.5,2.1,19,22,24.5,11,15,10,17,36
Estelí,Macho,Grande,Amarillo,Rojo,Rojo,Otro,2.49,3.2,8.2,3.6,3.6,1.8,16,29,25,14,18,10,18,36
Nueva Segovia,Macho,Mediana,Amarillo,Rojo,Rojo,Otro,2.02,3,9,4,3,2.2,18,25,28,14,17,11,18,36
Nueva Segovia,Macho,Grande,Amarillo,Rojo,Rojo,Amarillo,3,3.9,9,4.2,3.1,1.9,22,22,22,15,18,12,20,36
Nueva Segovia,Hembra,Mediana,Rojo,Rojo,Rojo,Amarillo,1.28,2.7,7,3,1.4,14,21,21,10,14,14,8,30,36
Madriz,Hembra,Grande,Amarillo,Rojo,Rojo,Amarillo,2.36,3.3,8,4,2.5,1.5,14,25,23,9,12,6,16,37
Nueva Segovia,Macho,Grande,Amarillo,Rojo,Rojo,Amarillo,2.96,3.5,9.1,3.8,4,3,20,28,28,15,20,10,20,37
Estelí,Macho,Grande,Amarillo,Rojo,Rojo,Amarillo,3.7,3.8,10.2,4.5,3.7,2,20,25,25,13,16,8,22,37
Nueva Segovia,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.89,3,7.2,3.1,2.2,1,13,22,18,14,15,9,15,38
Madriz,Hembra,Grande,Amarillo,Rojo,Rojo,Amarillo,3.31,3.2,8,3.1,2,2,13,27,23,14,16,8,18,38
Estelí,Macho,Grande,Amarillo,Rojo,Rojo,Amarillo,3.22,4.1,9.1,5,4,1.9,17,25,26,15,17,11,19,38
Madriz,Macho,Grande,Amarillo,Rojo,Rojo,Amarillo,3.42,3.6,10,4,3.2,2.8,17,22,26,12,16,8,20,38
Madriz,Macho,Grande,Amarillo,Rojo,Rojo,Amarillo,3.6,3.3,9,4.3,4.5,2.6,19,24,24,14,19,11,21,38
Estelí,Hembra,Grande,Amarillo,Rojo,Rojo,Otro,2.5,3.2,7,3.5,2.2,2.2,15,22,22,11,16,7,17,39
Estelí,Hembra,Grande,Amarillo,Rojo,Rojo,Otro,1.9,3.3,8,4,2,2,15,21,21,11,16,8,18,39
Estelí,Macho,Grande,Amarillo,Rojo,Rojo,Otro,3,3.1,8.1,3.6,4.5,2,17,28,26,13,16,8.5,20,39
Estelí,Macho,Grande,Amarillo,Rojo,Rojo,Amarillo,3.59,3.4,8.3,3.9,4.5,2,22,29,27,14,16.5,9,20,39
Madriz,Hembra,Grande,Amarillo,Rojo,Rojo,Amarillo,3.31,3.1,9.2,3.5,3.2,2,17,27,24,11,13,8,18,40
Estelí,Hembra,Grande,Amarillo,Rojo,Rojo,Amarillo,4.34,3.3,9,3.7,3,1.5,18,20,21,12,16,7.5,20,41
Madriz,Hembra,Grande,Amarillo,Rojo,Rojo,Amarillo,4,4,8.2,4.1,3,1.5,17,20,25,28,15,12,22,45
